id,file,line,event,label,flow,handler,isCancelCta,isNoop,blocker
181,apps/empire_flutter/app/lib/modules/educator/educator_learners_page.dart,181,onTap,,callback/action,() => setState(() => _selectedSession = 'all'),False,False,none
182,apps/empire_flutter/app/lib/modules/educator/educator_learners_page.dart,190,onTap,,callback/action,() => setState(() => _selectedSession = session.id),False,False,none
183,apps/empire_flutter/app/lib/modules/educator/educator_learners_page.dart,276,onTap,,callback/action,onTap,False,False,none
184,apps/empire_flutter/app/lib/modules/educator/educator_learners_page.dart,424,onTap,,callback/action,onTap,False,False,none
185,apps/empire_flutter/app/lib/modules/educator/educator_learners_page.dart,596,onPressed,Message,cancel/close,() => Navigator.pop(context),True,False,none
186,apps/empire_flutter/app/lib/modules/educator/educator_learners_page.dart,612,onPressed,Full Profile,cancel/close,() => Navigator.pop(context),True,False,none
187,apps/empire_flutter/app/lib/modules/educator/educator_learner_supports_page.dart,58,onPressed,Learner Supports,callback/action,_showSearchDialog,False,False,none
188,apps/empire_flutter/app/lib/modules/educator/educator_learner_supports_page.dart,154,onTap,,callback/action,() => _showSupportDetails(support),False,False,none
189,apps/empire_flutter/app/lib/modules/educator/educator_learner_supports_page.dart,365,onPressed,Close,cancel/close,() => Navigator.pop(context),True,False,none
190,apps/empire_flutter/app/lib/modules/educator/educator_learner_supports_page.dart,372,onPressed,Close,callback/action,() {,True,False,none
191,apps/empire_flutter/app/lib/modules/educator/educator_learner_supports_page.dart,405,onPressed,Cancel,cancel/close,() => Navigator.pop(dialogContext),True,False,none
192,apps/empire_flutter/app/lib/modules/educator/educator_learner_supports_page.dart,409,onPressed,Cancel,callback/action,() {,True,False,none
193,apps/empire_flutter/app/lib/modules/educator/educator_integrations_page.dart,184,onPressed,Sync Now,callback/action,() {,False,False,none
194,apps/empire_flutter/app/lib/modules/educator/educator_sessions_page.dart,75,onTap,,callback/action,() => _openSessionDetail(sessions[index]),False,False,none
195,apps/empire_flutter/app/lib/modules/educator/educator_sessions_page.dart,89,onPressed,New Session,callback/action,_createNewSession,False,False,none
196,apps/empire_flutter/app/lib/modules/educator/educator_sessions_page.dart,180,onTap,,callback/action,() => setState(() => _filterStatus = 'all'),False,False,none
197,apps/empire_flutter/app/lib/modules/educator/educator_sessions_page.dart,187,onTap,,callback/action,() => setState(() => _filterStatus = 'future_skills'),False,False,none
198,apps/empire_flutter/app/lib/modules/educator/educator_sessions_page.dart,194,onTap,,callback/action,() => setState(() => _filterStatus = 'leadership'),False,False,none
199,apps/empire_flutter/app/lib/modules/educator/educator_sessions_page.dart,201,onTap,,callback/action,() => setState(() => _filterStatus = 'impact'),False,False,none
200,apps/empire_flutter/app/lib/modules/educator/educator_sessions_page.dart,355,onPressed,Cancel,cancel/close,_isSubmitting ? null : () => Navigator.pop(context),True,False,none
201,apps/empire_flutter/app/lib/modules/educator/educator_sessions_page.dart,359,onPressed,Cancel,callback/action,_isSubmitting ? null : _submit,True,False,none
202,apps/empire_flutter/app/lib/modules/educator/educator_sessions_page.dart,387,onTap,,callback/action,onTap,False,False,none
203,apps/empire_flutter/app/lib/modules/educator/educator_sessions_page.dart,545,onTap,,callback/action,onTap,False,False,none
204,apps/empire_flutter/app/lib/modules/educator/educator_sessions_page.dart,629,onPressed,View Full Details,cancel/close,() => Navigator.pop(context),True,False,none
205,apps/empire_flutter/app/lib/modules/educator/educator_today_page.dart,59,onTap,,callback/action,() => _openClassDetail(service.todayClasses[index]),False,False,none
206,apps/empire_flutter/app/lib/modules/educator/educator_today_page.dart,189,onTap,,navigate,() => context.push('/educator/attendance'),False,False,none
207,apps/empire_flutter/app/lib/modules/educator/educator_today_page.dart,198,onTap,,callback/action,_showReviewMissionsDialog,False,False,none
208,apps/empire_flutter/app/lib/modules/educator/educator_today_page.dart,207,onTap,,navigate,() => context.push('/messages'),False,False,none
