idx	doc	status	cwd	timeout_s	raw_command	executed_command	log	note
51	docs/DEFERMENT_LOG.md	PASS	/Users/simonluke/dev/scholesa	240	npm test	npm test	/Users/simonluke/dev/scholesa/reports/docs_all_commands_regression_20260223165210_logs/51_npm-test.log	
52	docs/09_TEST_STRATEGY_QA_FINAL_COMPLIANCE.md	FAIL(1)	/Users/simonluke/dev/scholesa/apps/empire_flutter/app	600	flutter build web --release --no-tree-shake-icons --no-wasm-dry-run	flutter build web --release --no-tree-shake-icons --no-wasm-dry-run	/Users/simonluke/dev/scholesa/reports/docs_all_commands_regression_20260223165210_logs/52_flutter-build-web-release-no-tree-shake-icons-no-wasm-dry-run.log	
53	docs/09_TEST_STRATEGY_QA_FINAL_COMPLIANCE.md	FAIL(1)	/Users/simonluke/dev/scholesa/apps/empire_flutter/app	1200	flutter build macos --release --no-tree-shake-icons	flutter build macos --release --no-tree-shake-icons	/Users/simonluke/dev/scholesa/reports/docs_all_commands_regression_20260223165210_logs/53_flutter-build-macos-release-no-tree-shake-icons.log	
54	docs/09_TEST_STRATEGY_QA_FINAL_COMPLIANCE.md	FAIL(1)	/Users/simonluke/dev/scholesa/apps/empire_flutter/app	1200	flutter build ios --release --no-codesign --no-tree-shake-icons	flutter build ios --release --no-codesign --no-tree-shake-icons	/Users/simonluke/dev/scholesa/reports/docs_all_commands_regression_20260223165210_logs/54_flutter-build-ios-release-no-codesign-no-tree-shake-icons.log	
55	docs/51_IMPLEMENTATION_AUDIT_GO_LIVE.md	FAIL(1)	/Users/simonluke/dev/scholesa/apps/empire_flutter/app	600	flutter build web --release	flutter build web --release	/Users/simonluke/dev/scholesa/reports/docs_all_commands_regression_20260223165210_logs/55_flutter-build-web-release.log	
56	docs/51_IMPLEMENTATION_AUDIT_GO_LIVE.md	FAIL(1)	/Users/simonluke/dev/scholesa	300	npm audit	npm audit	/Users/simonluke/dev/scholesa/reports/docs_all_commands_regression_20260223165210_logs/56_npm-audit.log	
57	docs/SCHOLESA_SUPREME_MASTER_VIBE.md	INVALID	-	-	firebase-admin	-	/Users/simonluke/dev/scholesa/reports/docs_all_commands_regression_20260223165210_logs/57_invalid.log	package name/tool name only, not executable command
58	docs/SCHOLESA_SUPREME_MASTER_VIBE.md	INVALID	-	-	firebase	-	/Users/simonluke/dev/scholesa/reports/docs_all_commands_regression_20260223165210_logs/58_invalid.log	package name/tool name only, not executable command
59	docs/DEPLOYMENT_OPS_REGRESSION_REPORT.md	FAIL(6)	/Users/simonluke/dev/scholesa	240	curl -sS "https://us-central1-studio-3328096157-e3f79.cloudfunctions.net/healthCheck"	curl -sS "https://us-central1-studio-3328096157-e3f79.cloudfunctions.net/healthCheck"	/Users/simonluke/dev/scholesa/reports/docs_all_commands_regression_20260223165210_logs/59_curl-ss-https-us-central1-studio-3328096157-e3f79-cloudfunctions-net-healthcheck.log	
60	docs/DEPLOYMENT_OPS_REGRESSION_REPORT.md	INVALID	-	-	curl -sS -o /tmp/callable_resp.json -w "%{http_code}\n" \	-	/Users/simonluke/dev/scholesa/reports/docs_all_commands_regression_20260223165210_logs/60_invalid.log	incomplete command ending with continuation slash
61	docs/DEPLOYMENT_OPS_REGRESSION_REPORT.md	PASS	/Users/simonluke/dev/scholesa	600	npm ci	npm ci	/Users/simonluke/dev/scholesa/reports/docs_all_commands_regression_20260223165210_logs/61_npm-ci.log	
62	docs/COMPLIANCE_REPORT.md	FAIL(1)	/Users/simonluke/dev/scholesa/apps/empire_flutter/app	240	flutter build	flutter build	/Users/simonluke/dev/scholesa/reports/docs_all_commands_regression_20260223165210_logs/62_flutter-build.log	
63	docs/Scholesa_COPPA_Operational_Pack/08_NO_ADVERTISING_POLICY.md	PASS	/Users/simonluke/dev/scholesa	240	npm run audit:coppa:no-ads	npm run audit:coppa:no-ads	/Users/simonluke/dev/scholesa/reports/docs_all_commands_regression_20260223165210_logs/63_npm-run-audit-coppa-no-ads.log	
